Added to DB,object_number,title,format,description,subheadline,text,google_drive_link,video_url,sound_url,external_url,production,photographer_credit,date,people,tags,is_featured
,1,Quote,Quote,"""Theatre should be like..."" ",,"Theatre should be like stepping onto a tightrope every night not plodding down a well trodden path.

Even when you’re on your 300th performance there should still be a sense of spontaneity, a fizz of adrenaline and a feeling that the actors themselves don’t quite know what’s going to happen. It’s easier to shake things up and find freshness with new and more devised work (we all know what happens at the end of Romeo and Juliet before it even starts). As a performer I never subvert the story or the focus but I often shake things up, change rhythms, find something new.",https://docs.google.com/document/d/13PItpAZpDQlrY-57QOAKxSDJz1ED0vtS0qyz_d9VN9Q/edit?disco=AAACFeLSE_I,,,,Miscellaneous,,,Mike Shepherd,,no
,2,Quote,Quote,"""You're absolutely in connection...""",,You're absolutely in connection with your fellow colleagues and the audience. The storytelling takes people on a journey. ,https://docs.google.com/document/d/13PItpAZpDQlrY-57QOAKxSDJz1ED0vtS0qyz_d9VN9Q/edit?disco=AAACFeLSFBM,,,,Miscellaneous,,,Mike Shepherd,,no
,3,Quote,Quote,"""In village halls, you can’t pretend to be someone else...""",,"In village halls, you can’t pretend to be someone else. You have to talk directly to the audience, you have to engage with the tea urn, you have to engage with the children and the grannies and make it an event, a celebration.
The Guardian 21st March 2005",https://docs.google.com/document/d/13PItpAZpDQlrY-57QOAKxSDJz1ED0vtS0qyz_d9VN9Q/edit?disco=AAACFeLSFBQ,,,,Miscellaneous,,,Emma Rice,,no
,4,Quote,Quote,"'Kneehigh had almost three different sections...""",,"Kneehigh had almost three different sections -  one of which was the touring shows, and there were the village hall touring shows, and there were the schools shows. Even though I trained as a teacher, I learned all my teaching skills through working for Kneehigh and doing workshops.",https://docs.google.com/document/d/13PItpAZpDQlrY-57QOAKxSDJz1ED0vtS0qyz_d9VN9Q/edit?disco=AAACFeLSFBU,,,,Miscellaneous,,,Anna Maria Murphy,,no
,5,Quote,Quote,"""Both Emma Rice and I absolutely believe...""",,"Both Emma Rice and I absolutely believe in the collective imagination of the room. If you can create the conditions for that kind of creativity, the collective imagination is going to give you far more than you could come up with on your own. 

We quite often task people.  Fairly quickly people respond to the provocation and come up with something interesting. Both Emma and myself are reluctant to tell people what to do. If there's one thing I'd like people to do within the arts it is to be instinctive and to make offers. ",https://docs.google.com/document/d/13PItpAZpDQlrY-57QOAKxSDJz1ED0vtS0qyz_d9VN9Q/edit?disco=AAACFeLSFBY,,,,Miscellaneous,,,Mike Shepherd,,no
,6,Quote,Quote,"""Going to the Barns for the first time was mind-blowing...""",,"Going to the Barns for the first time was mind-blowing. It changed everything for me as an artist and as a person, that there was this world of creativity, of storytelling right by the sea.",https://docs.google.com/document/d/13PItpAZpDQlrY-57QOAKxSDJz1ED0vtS0qyz_d9VN9Q/edit?disco=AAACFeLSFBc,,,,Miscellaneous,,,Ian Ross,,no
,7,Quote,Quote,""" There's any number of ways to describe...""",,"There's any number of ways to describe what an ensemble is, but for me, it's a group of people who are on a journey with the work, who have some shared beliefs and, ideally, some shared language. They are going to be brave and are going to step into the unknown, which is what devising is as well.",https://docs.google.com/document/d/13PItpAZpDQlrY-57QOAKxSDJz1ED0vtS0qyz_d9VN9Q/edit?disco=AAACFeLSFBg,,,,Miscellaneous,,,Mike Shepherd,,no
,8,Quote,Quote,"""We always started with playfulness...""",,We always started with playfulness. There was always a sense of returning to your childhood sense of mischief.,https://docs.google.com/document/d/13PItpAZpDQlrY-57QOAKxSDJz1ED0vtS0qyz_d9VN9Q/edit?disco=AAACFeLSFBk,,,,Miscellaneous,,,Sue Hill,,no
,9,Quote,Quote,"""One of the ways to get people to care is...""",,"One of the ways to get people to care is if there’s a sense of shared ownership. That's why we always worked collectively while , at the same time,  giving writers, designers, musicians the autonomy to work independently when they needed to ",https://docs.google.com/document/d/13PItpAZpDQlrY-57QOAKxSDJz1ED0vtS0qyz_d9VN9Q/edit?disco=AAACFeLSFBs,,,,Miscellaneous,,,Mike Shepherd,,no
,10,Quote,Quote,"""Devising is hard, it needs improvisation skills which take time to develop...""",,"Devising is hard, it needs improvisation skills which take time to develop, it needs a generosity and, somehow, a joy of creation. It seems to be increasingly hard to keep fear and anxiety at bay but I believe that we have to strive to do so, as fear and anxiety thwart creativity.",https://docs.google.com/document/d/13PItpAZpDQlrY-57QOAKxSDJz1ED0vtS0qyz_d9VN9Q/edit?disco=AAACFeLSFCU,,,,Miscellaneous,,,Mike Shepherd,,no
